,paragraph
1139,A criterion by which the activity can be judged as Taxonomy compliant is as follows  in line with existing EU legislation Adaptation responses shall comply with the requirement set out in Article 297b of the recast Renewable Energy Directive EU20182001 which determines the requirement for management systems to be in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term  3 Water
1140,Minimise the use of pesticides and favour alternative approaches or techniques such as nonchemical alternatives to pesticides in line with the Directive 2009128EC on the sustainable use of pesticides With exception of occasions that this is needed to control pest and diseases outbreaks Adapt the use of fertilizers to what is needed to prevent leeching of nutrients to waters
1141,Take well documented and verifiable measures to avoid the use of active ingredients that are listed in the Stockholm Convention the Rotterdam Convention the Montreal Protocol on Substances that Deplete the Ozone Layer or that are listed as classification Ia or Ib in the WHO recommended Classification of Pesticides by Hazard
1142,No conversion of habitats specifically sensitive to biodiversity loss or of high conservation value such as grasslands and any high carbon stock area eg peat lands and wetlands and areas set aside for the restoration of such habitats in line with national legislation
1143,Select native species or species varieties ecotypes and provenance of trees that adequately provide the necessary resilience to climate change natural disasters and the biotic pedologic and hydrologic condition of the area concerned as well as the potential invasive character of the species under local conditions current and projected climate change
1144,Existing Forest Management The Taxonomy defines forest management as management of the land which is reported as forest in accordance with the Sustainable Forest Management principles SFM is further defined by Forest Europe as sustainable forest management means using forests and forest land in a way and at a rate that maintains their biodiversity productivity regeneration capacity vitality and their potential to fulfil now and in the future relevant ecological economic and social functions at local national and global levels and that does not cause damage to other ecosystems 452
1145,Users of the Taxonomy should identify and explain which criteria they are responding to Nonexhaustive list of examples of measures that can contribute to Adaptation of Forestry activities The activity itself can be made climateresilient through different measures such as
1146,Use of early warning systems or wildfire control measures to reduce damages due to wildfires enhanced by heat waves Use of regeneration material species and ecotypes less sensitive to strong wind or timely management of seedling stand and timely thinning to reduce damage to forest stands from increased wind
1147,Use of species and ecotypes less susceptible to drought or diversification of species and ecotypes to minimise tree losses due to lack of water availability Do no significant harm assessment Key environmental aspects span across all other five objectives and are summarized as follows
1148,The DNSH criteria below should be considered in combination with the SFM requirements of the forest mitigation Taxonomy criterion 1 The criteria can be informed by applying forest certification using independent thirdparty schemes that are regularly audited Compliance shall be reported through a forest management plan or equivalent as per criterion 3 of the forest mitigation Taxonomy 1 Mitigation
1149,Forests are an unusual economic sector in which they provide a substantial carbon sink and that significant harm for forest climate change mitigation include where an adaptation activity leads to a significant longterm reduction of the carbon sink It is therefore important to maintain the forest area and thus forest carbon stocks and sink potential over the longterm The principles for ensuring mitigation proofed adaptation activities are that adaptation responses should o
1150,Adaptation responses shall comply with the requirement set out in Article 297b of the recast Renewable Energy Directive EU20182001 which determines the requirement for management systems to be in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term453
1151,453 Article 29 of the recast RED sets out sustainability criteria for forests to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term This is explicitly defined in Article 297b which requires management systems are in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term This places the emphasis of the no significant harm requirement at a level more appropriate for the operation of the Taxonomy andor investment rather than relying on national level requirements
1152,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1153,Minimise the use of pesticides and favour alternative approaches or techniques such as nonchemical alternatives to pesticides in line with the Directive 2009128EC on the sustainable use of pesticides With exception of occasions that this is needed to control pest and diseases outbreaks Adapt the use of fertilizers to what is needed to prevent leeching of nutrients to waters
1154,Take well documented and verifiable measures to avoid the use of active ingredients that are listed in the Stockholm Convention the Rotterdam Convention the Montreal Protocol on Substances that Deplete the Ozone Layer or that are listed as classification Ia or Ib in the WHO recommended Classification of Pesticides by Hazard
1155,No conversion of habitats specifically sensitive to biodiversity loss or of high conservation value such as grasslands and any high carbon stock area eg peat lands and wetlands and areas set aside for the restoration of such habitats in line with national legislation
1156,Forests are monitored and protected to prevent illegal logging in compliance with national laws Promote closetonature forestry or similar concepts depending on the local requirements and limitations Select native species or species varieties ecotypes and provenance of trees that adequately provide the necessary resilience to climate change natural disasters and the biotic pedologic and hydrologic condition of the area concerned as well as the potential invasive character of the species under local conditions current and projected climate change
1157,Conservation forest That in which the primary designated management objective FAO FRA definition is that of conservation Specifically those forests where the management objectives are conservation of biodiversity or social services based on the FAO FRA definitions456
1158,Users of the Taxonomy should identify and explain which criteria they are responding to Nonexhaustive list of examples of measures that can contribute to Adaptation of Forestry activities The activity itself can be made climateresilient through different measures such as
1159,Use of early warning systems or wildfire control measures to reduce damages due to wildfires enhanced by heat waves Use of regeneration material species and ecotypes less sensitive to strong wind or timely management of seedling stand and timely thinning to reduce damage to forest stands from increased wind
1160,Use of species and ecotypes less susceptible to drought or diversification of species and ecotypes to minimise tree losses due to lack of water availability Do no significant harm assessment Key environmental aspects span across all other five objectives and are summarized as follows
1161,The DNSH criteria below should be considered in combination with the SFM requirements of the forest mitigation Taxonomy criterion 1 The criteria can be informed by applying forest certification using independent thirdparty schemes that are regularly audited Compliance shall be reported through a forest management plan or equivalent as per criterion 3 of the forest mitigation Taxonomy 1 Mitigation
1162,Forests are an unusual economic sector in which they provide a substantial carbon sink and that significant harm for forest climate change mitigation include where an adaptation activity leads to a significant longterm reduction of the carbon sink It is therefore important to maintain the forest area and thus forest carbon stocks and sink potential over the longterm The principles for ensuring mitigation proofed adaptation activities are that adaptation responses should o
1163,Adaptation responses shall comply with the requirement set out in Article 297b of the recast Renewable Energy Directive EU20182001 which determines the requirement for management systems to be in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term457
1164,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1165,457 Article 29 of the recast RED sets out sustainability criteria for forests to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term This is explicitly defined in Article 297b which requires management systems are in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term This places the emphasis of the no significant harm requirement at a level more appropriate for the operation of the Taxonomy andor investment rather than relying on national level requirements
1166,Minimise the use of pesticides and favour alternative approaches or techniques such as nonchemical alternatives to pesticides in line with the Directive 2009128EC on the sustainable use of pesticides With exception of occasions that this is needed to control pest and diseases outbreaks Adapt the use of fertilizers to what is needed to prevent leeching of nutrients to waters
1167,Take well documented and verifiable measures to avoid the use of active ingredients that are listed in the Stockholm Convention the Rotterdam Convention the Montreal Protocol on Substances that Deplete the Ozone Layer or that are listed as classification Ia or Ib in the WHO recommended Classification of Pesticides by Hazard
1168,No conversion of habitats specifically sensitive to biodiversity loss or of high conservation value such as grasslands and any high carbon stock area eg peat lands and wetlands and areas set aside for the restoration of such habitats in line with national legislation
1169,Promote closetonature forestry or similar concepts depending on the local requirements and limitations Select native species or species varieties ecotypes and provenance of trees that adequately provide the necessary resilience to climate change natural disasters and the biotic pedologic and hydrologic condition of the area concerned as well as the potential invasive character of the species under local conditions current and projected climate change
1170,Users of the Taxonomy should identify and explain which criteria they are responding to Do no significant harm assessment Key environmental aspects to be considered for investments in growing of perennial crops span across all other five objectives and are summarized as follows
1171,Note that areas of environmental risk are highly geographically variable Guidance should be sought from the relevant competent national or regional authority to identify areas or issues of importance and relevance within the area or project concerned DNSH Objective
1172, No burning of arable stubble except where authority has granted an exemption for plant health reasons461  Appropriate protection of wetland or peatland 462 and no conversion of continuously forested areas or land spanning more than one hectare with trees higher than 5m and a canopy cover of between 10  30 or able to reach those thresholds in situ463  Minimum land management under tillage to reduce risk of soil degradation including on slopes464  No bare soil in most sensitive period to prevent erosion and loss of soils465 3 Sustainable use and protection of water and marine resources
1173,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1174,Activities should minimise raw material use per unit of output including energy through increased resource use efficiency466 Activities should minimise the loss of nutrients in particular nitrogen and phosphate leaching out from the production system into the environment 467
1175,462 Consistent with GAEC 2 of Annex III of COM2018392 463 Consistent with RED II Article 29 paragraphs 4 and 5 It is be applied to all perennial crop production whether for biofuels bioliquids or biomass or for food or feed uses The intention is per RED II namely to ensure high carbon stock land is not converted for the purposes for agricultural production 464 Consistent with GAEC 6 of Annex III of COM2018392 465 Consistent with GAEC 7 of Annex III of COM2018392 466
1176,Consistent with GAEC 5 of Annex III of COM2018392 The aim is to provide farmers with a digital tool that helps them optimize the use of nutrients on their farm leading to environmental and agronomic benefits 468
1177,It is noted that the EU Circular Economy Strategy and many of the actions from the corresponding actions plans have relevance to agriculture that may provide guidance here eg proposing legislation setting minimum requirements for reused water for agricultural irrigation new Fertiliser Regulation introducing harmonised rules for organic fertilisers manufactured from secondary raw materials such as agricultural byproducts and biowastes
1178,Activities ensure that nutrients fertilisers and plant protection products eg pesticides and herbicides are targeted in their application in time and area treated and are delivered at appropriate levels with preference to sustainable biological physical or other nonchemical methods if possible and with appropriate equipment and techniques to reduce risk and impacts of pesticide use on human health and the environment eg water and air pollution and the loss of excess nutrients470 The use only of plant protection products with active substances that ensure high protection of human and animal health and the environment 471 Activities ensure the protection of soils particularly over winter to prevent erosion and runoff into water coursesbodies and to maintain soil organic matter472 Activities do not lead to the conversion fragmentation or unsustainable intensification of highnaturevalue land wetlands forests or other areas of highbiodiversity value473 This includes highly biodiverse grassland spanning more than one hectare that is i natural namely grassland that would remain grassland in the absence of human intervention and that maintains the natural species composition and ecological characteristics and processes or ii nonnatural namely grassland that would cease to be grassland in the absence of human intervention and that is speciesrich and not degraded and has been identified as being highly biodiverse by the relevant competent authority Activities should not474 o
1179,See also National Emission Ceilings Directive EU 20162284 notably Annex III part 2 and the related provisions in the National Air Pollution Control Programme established by each Member State under this Directive 470
1180,See Directive 2009128EC on sustainable use of pesticides and the Nitrates Directive SMR 13 of CAP post 2020 will link the implementation of the pesticide directive with direct payments under cross compliance 471
1181,Consistent with Statutory Management Directive 3 and 4 of the post 2020 CAP and specifically Council Directive 9243EEC of 21 May 1992 on the conservation of natural habitats and of wild flora and fauna OJ L 206 2271992 p 7 Article 61 and 2 and Directive 2009147EC of the European Parliament and of the Council of 30 November 2009 on the conservation of wild birds OJ L 20 2612010 p 7 Article 31 Article 32b Article 41 2 and 4
1182,Users of the Taxonomy should identify and explain which criteria they are responding to Do no significant harm assessment Key environmental aspects to be considered for investments in growing of nonperennial crops span across all other five objectives and are summarized as follows
1183,Note that areas of environmental risk are highly geographically variable Guidance should be sought from the relevant competent national or regional authority to identify areas or issues of importance and relevance within the area or project concerned DNSH Objective
1184,Appropriate protection of wetland or peatland 477 and no conversion of continuously forested areas or land spanning more than one hectare with trees higher than 5m and a canopy cover of between 10  30 or able to reach those thresholds in situ478
1185,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1186,Activities ensure that nutrients fertilisers and plant protection products eg pesticides and herbicides are targeted in their application in time and area treated and are delivered at appropriate levels with preference to sustainable biological physical or other nonchemical methods if possible
1187,476 In the EU this should be interpreted as Member States granting an exemption in line with GAEC 3 of Annex III of COM2018392 477 Consistent with GAEC 2 of Annex III of COM2018392 478 Consistent with RED II Article 29 paragraphs 4 and 5 It is be applied to all perennial crop production whether for biofuels bioliquids or biomass or for food or feed uses The intention is per RED II namely to ensure high carbon stock land is not converted for the purposes for agricultural production 479 Consistent with GAEC 6 of Annex III of COM2018392 480 Consistent with GAEC 7 of Annex III of COM2018392 481
1188,Consistent with GAEC 5 of Annex III of COM2018392 The aim is to provide farmers with a digital tool that helps them optimize the use of nutrients on their farm leading to environmental and agronomic benefits 483 It is noted that the EU Circular Economy Strategy and many of the actions from the corresponding actions plans have relevance to agriculture that may provide guidance here eg proposing legislation setting minimum requirements for reused water for agricultural irrigation new Fertiliser Regulation introducing harmonised rules for organic fertilisers manufactured from secondary raw materials such as agricultural byproducts and biowastes
1189,Activities do not lead to the conversion fragmentation or unsustainable intensification of highnaturevalue farmland wetlands forests or other areas of highbiodiversity value486 This includes highly biodiverse grassland spanning more than one hectare that is iii natural namely grassland that would remain grassland in the absence of human intervention and that maintains the natural species composition and ecological characteristics and processes or iv nonnatural namely grassland that would cease to be grassland in the absence of human intervention and that is speciesrich and not degraded and has been identified as being highly biodiverse by the relevant competent authority Activities should not487
1190,Where activities involve the production of novel nonnative or invasive alien species their cultivation should be subject to an initial risk assessment and ongoing monitoring in order to ensure that sufficient safeguards are in place to prevent escape to the environment
1191,484 See Directive 2009128EC on sustainable use of pesticides and the Nitrates Directive SMR 13 of CAP post 2020 will link the implementation of the pesticide directive with direct payments under cross compliance 485 In the EU this means the use of plant protection products that are categorised in groups 1 2 or 3 as regard their hazard weighting under Directive EU 2019782 table1 486 Areas of highbiodiversityvalue can be defined as set out in Article 293 of the Directive EU20182001 487 Consistent with Statutory Management Directive 3 and 4 of the post 2020 CAP and specifically Council Directive 9243EEC of 21 May 1992 on the conservation of natural habitats and of wild flora and fauna OJ L 206 2271992 p 7 Article 61 and 2 and Directive 2009147EC of the European Parliament and of the Council of 30 November 2009 on the conservation of wild birds OJ L 20 2612010 p 7 Article 31 Article 32b Article 41 2 and 4
1192,Further guidance Typical sensitivities The table below illustrates the typical sensitivities of the growing of nonperennial crops to climaterelated hazards Relevant climaterelated hazard will be location and context specific and should be identified through a climate risk assessment as indicated in screening criterion A1 Temperaturerelated
1193,Legend sss typically sensitive nsns typically non sensitive Examples of adaptation measures The table below provides examples of adaptation measures that can be adopted to reduce risks resulting from specific hazards for illustrative purpose only Relevant climaterelated hazards and required adaptation measures will be location and context specific and will be identified through the application of the qualitative screening criteria described above
1194,Users of the Taxonomy should identify and explain which criteria they are responding to Do no significant harm assessment The activity livestock production captures a distinct set of subactivities that would include intensive and extensive forms of livestock rearing as well as the management of permanent grassland These come with different key environmental aspects that need to be considered for investments in this sector summarised as follows
1195,To note that areas of environmental risk are highly geographically variable Guidance should be sought from the relevant competent national or regional authority to identify areas or issues of importance and relevance within the area or project concerned DNSH Objective
1196, No burning of arable stubble except where authority has granted an exemption for plant health reasons489  Appropriate protection of wetland or peatland490 and no conversion of continuously forested areas or land spanning more than one hectare with trees higher than 5m and a canopy cover of between 10  30 or able to reach those thresholds in situ491  Minimum land management under tillage to reduce risk of soil degradation including on slopes492  No bare soil in most sensitive period to prevent erosion and loss of soils 493
1197,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1198,Activities should use residues and byproducts and take any other measures to minimise primary raw material use per unit of output including energy 494 Activities should minimise the loss of nutrients from the production system into the environment
1199,Activities ensure that nutrients fertilisers and plant protection products eg pesticides and herbicides are targeted in their application in time and area treated and are delivered at appropriate levels with preference to sustainable biological physical or other nonchemical methods if possible to reduce risk and impacts of pesticide use on human health and the environment eg water and air pollution and the loss of excess nutrients through leaching volatilisation or oxidisation 495
1200,489 In the EU this should be interpreted as Member States granting an exemption in line with GAEC 3 of Annex III of COM2018392 490 Consistent with GAEC 2 of Annex III of COM2018392 491 Consistent with RED II Article 29 paragraphs 4 and 5 It is be applied to all perennial crop production whether for biofuels bioliquids or biomass or for food or feed uses The intention is per RED II namely to ensure high carbon stock land is not converted for the purposes for agricultural production 492 Consistent with GAEC 6 of Annex III of COM2018392 493 Consistent with GAEC 7 of Annex III of COM2018392 494
1201,See Directive 2009128EC on sustainable use of pesticides and the Nitrates Directive SMR 13 of CAP post 2020 will link the implementation of the pesticide directive with direct payments under cross compliance
1202,The use only of plant protection products with active substances that ensure high protection of human and animal health and the environment 496Ensure emissions to air water and soil are within the BATAEL ranges  are prevented or reduced by using a combination of BAT techniques as set out in the BREF for the Intensive Rearing of Poultry or Pigs 497 and by using similar emission reducing techniques for dairy farming
1203,Ensure that mitigation and emission reduction techniques for feeding and housing of livestock and for manure storage and processing are applied as recommended in the UNECE Framework Code for Good Agricultural Practice for Reducing Ammonia
1204,Where manure is applied to the land activities should comply with the limit of 170kg nitrogen application per hectare per year or alternatively the derogated threshold where one has been set in that member state 498
1205,Activities do not lead to the conversion fragmentation or unsustainable intensification of highnaturevalue land wetland forests or other areas of highbiodiversity value499 This includes highly biodiverse grassland spanning more than one hectare that is iii natural namely grassland that would remain grassland in the absence of human intervention and that maintains the natural species composition and ecological characteristics and processes or iv nonnatural namely grassland that would cease to be grassland in the absence of human intervention and that is speciesrich and not degraded and has been identified as being highly biodiverse by the relevant competent authority
1206,This threshold derives from the provisions set out under the Nitrates Directive 91676EC Council Directive 91676EEC of 12 December 1991 concerning the protection of waters against pollution caused by nitrates from agricultural sources In practice the threshold of 170kghayear has been implemented by Member States by setting limits on livestock density between 17  20 livestock units  ha Livestock unit is a reference unit which facilitates the aggregation of livestock from various species and age as per convention via the use of specific coefficients established on the basis of the nutritional or feed requirement of each type of animal see for example httpseceuropaeueurostatstatisticsexplainedindexphpGlossaryLivestock_unit_LSU 499
1207,Consistent with Statutory Management Directive 3 and 4 of the post 2020 CAP and specifically Council Directive 9243EEC of 21 May 1992 on the conservation of natural habitats and of wild flora and fauna OJ L 206 2271992 p 7 Article 61 and 2 and Directive 2009147EC of the European Parliament and of the Council of 30 November 2009 on the conservation of wild birds OJ L 20 2612010 p 7 Article 31 Article 32b Article 41 2 and 4
1208,Users of the Taxonomy should identify and explain which criteria they are responding to Do no significant harm assessment The main potential significant harm to other environmental objectives from the manufacture of low carbon technologies is associated with
1209,Depending on the productequipment being manufactured there may also be issues with respect to the embodied carbon and the demand for certain metals and materials eg rare earth metals which are in limited supply and may have significant environmental impact issues associated with the mining phase 1 Mitigation
1210,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are 427
1211,lower than the average global emissions based on emission performance standard determined by internationally recognised data for that economic activity The purpose of this approach is to ensure that there is a strong signal to the manufacturing sector to ambitiously improve energy efficiency and reduce emissions 3 Water
1212,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1213,Embodied carbon emissions should represent less than 50 of the total carbon emissions saved by the use of the energy efficient equipment Carbon emissions and savings at the endoflife stage are not included in the assessment for this criteria too uncertain
1214,Compliance with the REACH Registration Evaluation Authorisation and Restriction of Chemicals Regulation 12722008EC and the RoHS Restriction of Hazardous Substances Regulation 200295EC or the equivalent for equipment manufactured and used outside the EU nb equipment manufactured outside of the EU but imported into the EU must comply with the REACH and RoHS Regulations
1215,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems in particular UNESCO World Heritage and Key Biodiversity Areas KBAs have been implemented For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU 428
1216,a sitelevel biodiversity management plan exists and is implemented in alignment with the IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources all necessary mitigation measures are in place to reduce the impacts on species and habitats and a robust appropriately designed and longterm biodiversity monitoring and evaluation programme exists and is implemented
1217,Users of the Taxonomy should identify and explain which criteria they are responding to Do no significant harm assessment The main potential significant harm to other environmental objectives from cement manufacturing is associated with
1218,Climate mitigation Polluting emissions to air associated to the consumption of fossil fuels and calcinations reaction in the cement kiln Water consumption at production facilities located in waterstressed areas Potential for soil and groundwater contamination associated with the handling and storage of hazardous wastes used as fuel substitute secondary fuels in the cement production process
1219,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission performance standard determined by internationally recognised data for that economic activity The purpose of this approach is to ensure that there is a strong signal to the manufacturing sector to ambitiously improve energy efficiency and reduce emissions
1220,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1221,For cement production sites using hazardous wastes as alternative fuels ensure a waste management plan that meets EU standards or equivalent for plants operated in nonEU countries exists and is implemented 5 Pollution
1222,Ensure emissions to air and water are within the BATAEL ranges set in the BREF for the Production of Cement Lime and Magnesium Oxide1 A stringent level of BATAEL is required if an activity materially contributes to local air pollution levels exceeding air quality standards Ensure implementation of a recognised environmental management system ISO 14001 EMAS or equivalent Exclusion of refuse derived fuels for cement production Coincineration of waste has significant impacts on health and the environment due to the polluting nature of the associated emissions and higher emissions ceiling for cement plants in comparison with dedicated waste incineration plants Furthermore promoting waste as eligible fuel source may undermine waste minimisation efforts in other sectors
1223,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems particularly UNESCO World Heritage and Key Biodiversity Areas KBAs have been implemented
1224,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU 431
1225,all necessary mitigation measures are in place to reduce the impacts on species and habitats and a robust appropriately designed and longterm biodiversity monitoring and evaluation programme exists and is implemented
1226,Users of the Taxonomy should identify and explain which criteria they are responding to Do no significant harm assessment The main potential significant harm to other environmental objectives from the manufacture of aluminium is associated with
1227,Climate mitigation the potential for significant air emission impacts perfluorocarbons fluoride gases polycyclic aromatic hydrocarbons PAHs and particulate matter eg unused cryolite Hydrogen fluorides can be toxic to vegetation the toxic corrosive and reactive nature of waste generated by the used linings cathodes from the electrolytic cells known as spent pot lining SPL Dissolved fluorides and cyanides from the SPL material can create significant environmental impacts including groundwater contamination and pollution of local watercourses the ability or lacking thereof of aluminium manufacturing plants to incorporate aluminium scrap including scrap from their own manufacturing processes in the production process and the potential to impact ecosystems as a result of the land footprint of the site and from polluting emissions
1228,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission performance standard determined by internationally recognised data for that economic activity The purpose of this approach is to ensure that there is a strong signal to the manufacturing sector to ambitiously improve energy efficiency and reduce emissions
1229,useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented In the EU fulfil the requirements of EU water legislation 4 Circular Economy
1230,In order to avoid risks to circular economy aluminium manufacturing plants need to be able to process aluminium scrap In order to avoid unnecessary resource and energy consumption the aluminium scrap collection and sorting activities should be optimised for separation on an alloy specific basis If scrap alloys are mixed the functionality of the recycled material is restricted and valuable alloying elements may be lost 5 Pollution
1231,Emissions to air eg sulphur dioxide  SO2 nitrogen oxide  NOx particulate matter Total Organic Carbon TOC dioxins  mercury Hg hydrogen chloride HCL hydrogen fluoride HF Total Fluoride and PFCs polyfluorinated hydrocarbons PFCs are within the BATAEL ranges set in the BREF for the NonFerrous Metals Industries 501 A stringent level of BATAEL is required if an activity materially contributes to local air pollution levels exceeding air quality standards A minimum requirement is the implementation and adherence to a recognised environmental management system ISO 14001 EMAS or equivalent
1232,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems in particular UNESCO Word Heritage and Key Biodiversity Areas KBAs have been implemented
1233,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance Standard 6  whichever is stricter  in case of sitesoperations in nonEU countries based on the conservation objectives of the protected area For such sitesoperations ensure that
1234,a sitelevel biodiversity management plan exists and is implemented in alignment with the IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources 2018 all necessary mitigation measures are in place to reduce the impacts on species and habitats and
1235,C241 Manufacture of basic iron and steel and of ferroalloys C242 Manufacture of tubes pipes hollow profiles and related fittings of steel C243 Manufacture of other products of first processing of steel C2451 Casting of iron C2452 Casting of steel
1236,Users of the Taxonomy should identify and explain which criteria they are responding to Do no significant harm assessment The main potential significant harm to other environmental objectives from iron and steel production is associated with
1237,Climate mitigation emissions to air from cokemaking and smelting operations especially particulate matter dust oxides of nitrogen sulphur dioxide carbon monoxide chlorides fluorides volatile organic compounds polycyclic aromatic hydrocarbons PAHs polychlorinated dibenzodioxinsfurans and heavy metals emissions to water of hydrocarbons and suspended solids water consumption for quenching and cooling operations in water stressed areas the potential to impact local ecosystems and biodiversity due to the polluting emissions if not properly mitigated and due to the large land footprint of the operations and associated ancillary activities and wastes and by products from the coking and smelting operations including tar and benzole
1238,GHG Emissions from manufacturing economic activities that are either 1 proven to be aligned with an internationally recognised method for determining low carbon transition pathway or 2 that are lower than the average global emissions based on emission
1239,performance standard determined by internationally recognised data for that economic activity The purpose of this approach is to ensure that there is a strong signal to the manufacturing sector to ambitiously improve energy efficiency and reduce emissions 3 Water
1240,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
1241,Ensure emissions to water and air are within the BATAEL ranges set in the BREF for iron and steel production eg for pH total suspended solids TSS chemical oxygen demand COD chromium total and heavy metals for sulphur dioxide  SO2 nitrogen oxide  NOx particulate matter polychlorinated dibenzodioxinsfurans mercury Hg hydrogen chloride HCL and hydrogen fluoride HF A stringent level of BATAEL is required if an activity materially contributes to local air pollution levels exceeding air quality standards
1242,Ensure an Environmental Impact Assessment EIA has been completed in accordance with the EU Directives on Environmental Impact Assessment 201452EU and Strategic Environmental Assessment 200142EC or other equivalent national provisions or international standards eg IFC Performance Standard 1 Assessment and Management of Environmental and Social Risks  whichever is stricter  in the case of sitesoperations in nonEU countries for the siteoperation including ancillary services eg transport infrastructure and operations waste disposal facilities etc and any required mitigation measures for protecting biodiversityecosystems particularly UNESCO World Heritage and Key Biodiversity Areas KBAs have been implemented
1243,For sitesoperations located in or near to biodiversitysensitive areas including the Natura 2000 network of protected areas as well as other protected areas ensure that an appropriate assessment has been conducted in compliance with the provisions of the EU Biodiversity Strategy COM 2011 244 the Birds 2009147EC and Habitats 9243EEC Directives or other equivalent national provisions or international standards eg IFC Performance 437
1244,a sitelevel biodiversity management plan exists and is implemented in alignment with the IFC Performance Standard 6 Biodiversity Conservation and Sustainable Management of Living Natural Resources all necessary mitigation measures are in place to reduce the impacts on species and habitats and a robust appropriately designed and longterm biodiversity monitoring and evaluation programme exists and is implemented
1245,Users of the Taxonomy should identify and explain which criteria they are responding to Do no significant harm assessment The main potential significant harm to other environmental objectives from the manufacture of hydrogen is in practical terms inseparable from the potential for significant harm created by the hydrocarbon refining activity more generally and is associated with
